ticket_line_id,ticket_id,fecha_hora,store_id,caja_id,cajero_id,customer_id,product_id,descripcion_producto,categoria,subcategoria,cantidad,precio_unitario,descuento_pct,descuento_importe,importe_linea,moneda,canal,observaciones
TL-000092,T-500048,13 de mayo de 2025 07:36,S004,CAJ01,EMP061, C0009,P1036,Cortina Aurora 90x200,Textil hogar,Cortinas,1,26.46,0,"0,00",26.46,EUR,POS,
TL-000093,T-500048,13 de mayo de 2025 07:36,S004,CAJ01,EMP061, C0009,p1001,Cuadro Atlas ★,Decoración,Cuadros,1,29.33,10,2.93,26.40,EUR,POS,
TL-000094,T-500049,24/10/25 21:07,S001,CAJ05,EMP032,,P1025,Figura Nórdico ★,Decoración,Figuras,2,€94.86,0,0.00,"189,72",EUR,POS,
TL-000095,T-500050,15/10/25 10:07,S003,CAJ07,EMP080,C0011, P1028,Sábana Zen 90x200,Textil hogar,Sábanas,4,72.99,,€14.60,"277,36",EUR,POS,
TL-000096,T-500050,15/10/25 10:07,S003,CAJ07,EMP080,C0011,P7995,Producto desconocido,,,1,224.41,0,0.00,224.41,EUR,POS,
TL-000097,T-500050,15/10/25 10:07,S003,CAJ07,EMP080,C0011,P1080,Espejo Boreal ★,Decoración,Espejos,2,187.48,,112.49,"262,47",EUR,POS,
TL-000098,T-500050,15/10/25 10:07,S003,CAJ07,EMP080,C0011,P1055,Cuadro Luna ★,Decoración,Cuadros,1,"122,47",15,"18,37",104.10,EUR,POS,
TL-000099,T-500051 ,20/04/25 19:07,S001,CAJ08,EMP030,,P1047,Sofá Atlas 3 plazas,Muebles,Sofás,1,€546.40,0,,"546,40",EUR,POS,
TL-000100,T-500051 ,20/04/25 19:07,S001,CAJ08,EMP030,,P1076,Cortina Eco 200x300,Textil hogar,Cortinas,1,230.58,40,92.23,"138,35",EUR,POS,
TL-000101,T-500051 ,20/04/25 19:07,S001,CAJ08,EMP030,,p1031,Cama Nórdico 3 plazas,Muebles,Camas,1,1074.01,0,€0.00,1074.01,EUR,POS,
TL-000102,T-500052,28/01/25 17:35,S002,CAJ04,EMP035,,P1046,"Aplique Atlas ""Star""",Iluminación,Apliques,1,368.70,15,€55.30,313.40,EUR,POS,
TL-000103,T-500052,28/01/25 17:35,S002,CAJ04,EMP035,,P1020,Alfombra Zen 200x300,Textil hogar,Alfombras,1,"116,14",0,0.00,€116.14,EUR,POS,
TL-000104,T-500052,28/01/25 17:35,S002,CAJ04,EMP035,,P1036,Cortina Aurora 90x200,,Cortinas,1,"25,79",5,"1,29",24.50,EUR,POS,
TL-000105,T-500052,28/01/25 17:35,S002,CAJ04,EMP035,,P1058,Manta Nórdico 140x200,Textil hogar,Mantas,1,"60,21",15,9.03,51.18,EUR,POS,
TL-000106,T-500053,20/06/25 00:12,S004,CAJ07,EMP065,C0033,P1064,Estantería Minimal 120cm,Muebles,Estanterías,1,475.51,30,142.65,€332.86,EUR,POS,
TL-000107,T-500053,20/06/25 00:12,S004,CAJ07,EMP065,C0033,P1031,Cama Nórdico 3 plazas,Muebles,Camas,1,"1026,93",40,€410.77,"616,16",EUR,POS,
TL-000108,T-500053,20/06/25 00:12,S004,CAJ07,EMP065,C0033,P1062,Sábana Brisa Pack 4,Textil hogar,Sábanas,2,"217,97",0,"0,00",435.94,EUR,POS,
TL-000109,T-500054,24/10/25 08:41,S005,CAJ01,EMP035,,P1073,Espejo Minimal ★,Decoración,Espejos,2,117.45,10,23.49,211.41,EUR,POS,
TL-000110,T-500054,24/10/25 08:41,S005,CAJ01,EMP035,,P1072,"Aplique Aurora ""Star""",Iluminación,Apliques,1,226.17,0,"0,00",226.17,EUR,POS,
TL-000111,T-500055,10/02/25 14:56,S004,CAJ08,EMP043,C0052,P1058,Manta Nórdico 140x200,Textil hogar,,2,60.51,30,36.31,84.71 EUR,EUR,POS,
TL-000112,T-500055,10/02/25 14:56,S004,CAJ08,EMP043,C0052,P1003,Espejo Atlas ★,Decoración,Espejos,1,238.93,0,"0,00","238,93",EUR,POS,
TL-000113,T-500055,10/02/25 14:56,S004,CAJ08,EMP043,C0052,P1027,Sábana Nórdico 140x200,Textil hogar,Sábanas,1,96.90,0,0.00,€96.90,EUR,POS,
TL-000114,T-500055,10/02/25 14:56,S004,CAJ08,EMP043,C0052,P1095,  Espejo Élite 80cm  ,Iluminación,Lámparas pie,1,"184,28",0,0.00,184.28,EUR,POS,
TL-000115,T-500056,17/11/25 08:52,S003,CAJ02,EMP052,C0025,P1012,Sábana Sol 140x200,Textil hogar,Sábanas,1,7.43,0,0.00,€7.43,EUR,POS,
TL-000116,T-500057,20/06/25 03:32,S004,CAJ04,EMP017,,P1064,Estantería Minimal 120cm,Muebles,,1,452.47,,"45,25",407.22,EUR,POS,
TL-000117,T-500058,15 de febrero de 2025 14:51,S003,CAJ07,EMP015,C0091,P1055,Cuadro Luna ★,Decoración,Cuadros,1,123.00,25,30.75,,EUR,POS,
TL-000118,T-500059,2025-12-08 11:54:53,S002,CAJ03,EMP077,,P1036,Cortina Aurora 90x200,Textil hogar,Cortinas,1,28.02,0,0.00,28.02,EUR,POS,
TL-000119,T-500060,14/09/25 07:05,S003,CAJ05,EMP076,C0071,P1013,"Lámparas techo Brisa ""Star""",Iluminación,Lámparas techo,1,294.25,0,,€294.25,EUR,POS, ⚠️
TL-000120,T-500060,14/09/25 07:05,S003,CAJ05,EMP076,C0071,P1056,Cortina Luna Set 2 uds,Textil hogar,Cortinas,1,"216,40",0,"0,00",216.40,EUR,POS,
TL-000121,T-500061,2025-06-09 12:42:05,S002,CAJ04,EMP030,,P1028,Sábana Zen 90x200,Textil hogar,Sábanas,1,€75.46,0,0.00,75.46,EUR,POS,
TL-000122,T-500062,08/02/25 23:27,S002,CAJ01,EMP076,C0093,P1020,Alfombra Zen 200x300,Textil hogar,Alfombras,1,"102,65",0,0.00,"102,65",EUR,POS,
TL-000123,T-500062,08/02/25 23:27,S002,CAJ01,EMP076,C0093,P1076,Cortina Eco 200x300,Textil hogar,Cortinas,1,,0,"0,00","202,37",EUR,POS,
TL-000124,T-500062,08/02/25 23:27,S002,CAJ01,EMP076,C0093,P1024,Cojine Vintage ★,Decoración,Cojines,2,195.76,25,"97,88",293.64,EUR,POS,
TL-000125,T-500063,27/11/25 19:01,S001,CAJ05,EMP051,,P1002,Sábana Brisa 90x200,Textil hogar,Sábanas,1,171.69,40,68.68,103.01,EUR,POS,
TL-000126,T-500063,27/11/25 19:01,S001,CAJ05,EMP051,,P1078 ,Estantería Atlas 160cm,Muebles,Estanterías,1,713.47,0,"0,00",€713.47,EUR,POS,
TL-000127,T-500064,24/12/25 15:40,S004,CAJ01,EMP031,,P1006 ,Cortina Élite 200x300,Textil hogar,Cortinas,1,105.77,-5,-5.29,111.06,EUR,POS,posible devolución mal registrada
TL-000128,T-500065,22/01/25 19:04,S001,CAJ05,EMP006,C0073,P1098,Espejo Boreal ★,Decoración,Espejos,3,,5,"32,16","611,10",EUR,POS,
TL-000129,T-500065,22/01/25 19:04,S001,CAJ05,EMP006,C0073, P1056,Cortina Luna Set 2 uds,Textil hogar,Cortinas,1,209.54,0,0.00,209.54,EUR,POS,
TL-000130,T-500066,29/06/25 02:13,S005,CAJ04,EMP075,,P1012,Sábana Sol 140x200,Textil hogar,Sábanas,1,"7,51",0,0.00,7.51,EUR,POS,
TL-000131,T-500067,14/06/25 18:50,S005,CAJ08,EMP076,,P1017,"Lámparas techo Zen ""Star""",Iluminación,Lámparas techo,1,€68.27,20,"13,65",54.62,EUR,POS,
TL-000132,T-500067,14/06/25 18:50,S005,CAJ08,EMP076,,p1076,Cortina Eco 200x300,Textil hogar,Cortinas,1,"233,59",0,0.00,€233.59,EUR,POS,
TL-000133,T-500067,14/06/25 18:50,S005,CAJ08,EMP076,,P1025,Figura Nórdico ★,Decoración,Figuras,1,86.93,40,34.77 EUR,52.16,EUR,POS,
TL-000134,T-500068,19/11/25 08:30,S004,CAJ05,EMP038✓,,P1006,Cortina Élite 200x300,Textil hogar,Cortinas,1,119.18,0,0.00,119.18 EUR,EUR,POS,
TL-000135, T-500069,17/05/25 19:52,S005,CAJ05,EMP030,,P1092,Armario Sol Compact,Muebles,Armarios,1,586.91,0,,586.91,EUR,POS,
TL-000136, T-500069,17/05/25 19:52,S005,CAJ05,EMP030,,P1098,Espejo Boreal ★,Decoración,Espejos,1,225.01,15,33.75,191.26,EUR,POS,
TL-000137, T-500069,17/05/25 19:52,S005,CAJ05,EMP030,,P1069,Sofá Zen 120cm,Muebles,Sofás,1,,0,€0.00,"493,68",EUR,POS,
TL-000138, T-500069,17/05/25 19:52,S005,CAJ05,EMP030,,P1006,Cortina Élite 200x300,Textil hogar,Cortinas,1,€105.42,0,0.00,105.42,EUR,POS,
TL-000139, T-500069,17/05/25 19:52,S005,CAJ05,EMP030,,P1086,"Lámparas mesa Eco ""Star""",Iluminación,Lámparas mesa,1,"194,83",0,"0,00","194,83",EUR,POS,
TL-000140,T-500070,22/05/25 16:45,S002,CAJ01,EMP057,,P1020,Alfombra Zen 200x300,Textil hogar,Alfombras,4,114.28,0,0.00,457.12,EUR,POS,
TL-000141,T-500070,22/05/25 16:45,S002,CAJ01,EMP057,,P1002,Sábana Brisa 90x200,Textil hogar,Sábanas,2,€168.90,,"0,00","337,80",EUR,POS,
TL-000142,T-500070,22/05/25 16:45,S002,CAJ01,EMP057,,P1071,"Bombilla Aurora ""Star""",Iluminación,Bombillas,1,"140,42",0,,140.42,EUR,POS,
TL-000143,T-500071,10 de abril de 2025 19:08,S005,CAJ06,EMP035,C0044, P1035,Manta Brisa Set 2 uds,Textil hogar,Mantas,1,234.09,0,0.00,234.09,EUR,POS,
TL-000144,T-500072 ,04/11/25 01:41,S002,CAJ07,EMP072,C0096, P1065,Sofá Atlas 3 plazas,Muebles,Sofás,1,1177.23 EUR,0,"0,00",1177.23,EUR,POS,
TL-000145,T-500073,07/08/25 00:41,S003,CAJ04,EMP080,,P1060,Cortina Luna 200x300,Textil hogar,Cortinas,1,56.74,0,"0,00",€56.74,EUR,POS,
TL-000146,T-500073,07/08/25 00:41,S003,CAJ04,EMP080,,P1021,"Bombilla Brisa ""Star""",Iluminación,,1,€298.40,0,0.00,298.40,EUR,POS,
TL-000147,T-500073,07/08/25 00:41,S003,CAJ04,EMP080,,p1060,Cortina Luna 200x300,Textil hogar,Cortinas,-1,55.68,0,-0.00,-55.68,EUR,POS,revisar caja
TL-000148,T-500074,15/02/25 02:19,S004,CAJ01,EMP039,C0086,P1008,"Bombilla Nórdico ""Star""",,Bombillas,1,€30.80,10,3.08,"27,72",EUR,POS,
TL-000149,T-500074,15/02/25 02:19,S004,CAJ01,EMP039,C0086,P1094,"Bombilla Zen ""Star""",Iluminación,Bombillas,2,317.30,0,"0,00",634.60,EUR,POS,
TL-000150,T-500074,15/02/25 02:19,S004,CAJ01,EMP039,C0086,P1009,Cortina Vintage Pack 4,Textil hogar,Cortinas,1,20.81,10,2.08 EUR,€18.73,EUR,POS,
TL-000151,T-500075,28/08/25 02:17,S005,CAJ03,EMP013,C0057,SKU-1019,Vela Aurora ★,Decoración,,1,43.69,0,,"43,69",EUR,POS,
